DAY,SAMAN,ARPA,SLAJ,YEM,SU
419,2.191469502,2.008847044,1.460979668,8.218010633,1.095734751
420,1.952751082,1.790021825,1.301834054,7.322816556,0.976375541
421,1.952751082,1.790021825,1.301834054,7.322816556,0.976375541
422,1.837883371,1.684726423,1.225255581,6.892062641,0.918941685
423,1.72301566,1.579431022,1.148677107,6.461308726,0.86150783
424,1.837883371,1.684726423,1.225255581,6.892062641,0.918941685
425,1.952751082,1.790021825,1.301834054,7.322816556,0.976375541
426,2.009608292,1.768455297,1.044996312,7.395358514,1.125380643
427,2.067618792,1.895317226,1.378412528,7.753570471,1.033809396
428,2.067618792,1.895317226,1.378412528,7.753570471,1.033809396
429,2.199682268,1.861269611,1.01523797,7.783491103,1.269047462
430,2.199682268,1.861269611,1.01523797,7.783491103,1.269047462
431,2.030721166,1.718302525,0.937255923,7.185628743,1.171569904
432,1.240996268,1.050073766,0.572767508,4.391217565,0.715959386
433,2.143539009,1.813763777,0.989325696,7.584830339,1.236657121
434,2.256356852,1.909225028,1.04139547,7.984031936,1.301744337
435,2.256356852,1.909225028,1.04139547,7.984031936,1.301744337
436,2.256356852,1.909225028,1.04139547,7.984031936,1.301744337
437,2.075848303,1.756487026,0.958083832,7.345309381,1.19760479
438,2.130779848,1.802967564,0.983436853,7.53968254,1.311249137
439,2.01863354,1.708074534,0.931677019,7.142857143,1.242236025
440,1.570048309,1.328502415,0.724637681,5.555555556,0.966183575
